VOIDTK void
MAINTK main
LPARENT (
RPARENT )
LBRACE {
INTTK int
IDENFR a
COMMA ,
IDENFR b
SEMICN ;
IDENFR a
ASSIGN =
INTCON 5
SEMICN ;
IDENFR b
ASSIGN =
INTCON 1
SEMICN ;
PRINTFTK printf
LPARENT (
IDENFR a
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
IDENFR b
RPARENT )
SEMICN ;
IDENFR a
ASSIGN =
MINU -
IDENFR a
PLUS +
INTCON 5
SEMICN ;
PRINTFTK printf
LPARENT (
IDENFR a
RPARENT )
SEMICN ;
IDENFR b
ASSIGN =
INTCON 5
MINU -
IDENFR b
SEMICN ;
PRINTFTK printf
LPARENT (
IDENFR b
RPARENT )
SEMICN ;
RBRACE }
